
id,latitude,longitude,demand
1,19.433296,-99.168051,8
2,19.431386,-99.171695,9
3,19.431655,-99.158668,1
4,19.428309,-99.171713,2
5,19.42972,-99.169363,8
6,19.430922,-99.166959,4
7,19.425468,-99.175166,10
8,19.431141,-99.158317,7
9,19.428009,-99.169918,4
10,19.433321,-99.154752,8
11,19.430992,-99.163593,7
12,19.432313,-99.161597,9
13,19.423778,-99.175558,6
14,19.424768,-99.173261,9
15,19.425477,-99.171567,9
16,19.42653,-99.169164,2
17,19.427501,-99.167125,7
18,19.42836,-99.165543,4
19,19.43001,-99.161675,1
20,19.430964,-99.160206,9
21,19.423317,-99.175124,6
22,19.424375,-99.172575,4
23,19.425483,-99.170414,9
24,19.426102,-99.168992,3
25,19.426944,-99.166946,1
26,19.432685,-99.154726,6
27,19.429115,-99.162614,10
28,19.423542,-99.172494,1
29,19.434913,-99.149939,5
30,19.426442,-99.164323,7
31,19.427838,-99.161193,7
32,19.422705,-99.169922,8
33,19.424234,-99.166431,2
34,19.424539,-99.163503,1
35,19.424572,-99.163123,7
36,19.419725,-99.175778,3
37,19.420419,-99.172676,3
38,19.420801,-99.171407,2
39,19.422484,-99.167153,9
40,19.42223,-99.164297,1
41,19.435637,-99.150137,5
42,19.420472,-99.168238,5
43,19.435228,-99.146063,6
44,19.418057,-99.174761,9
45,19.418649,-99.172127,8
46,19.419214,-99.169732,9
47,19.419515,-99.166299,4
48,19.433686,-99.146557,9
49,19.416712,-99.175704,3
50,19.416938,-99.173648,2
51,19.417995,-99.168248,5
52,19.436236,-99.142039,3
53,19.414773,-99.178433,2
54,19.416215,-99.170825,6
55,19.434356,-99.138064,8
56,19.416959,-99.165702,6
57,19.414903,-99.17495,8
58,19.41568,-99.171793,3
59,19.415121,-99.166661,5
60,19.414191,-99.177123,1
61,19.413742,-99.169525,5
62,19.413322,-99.175202,7
63,19.413681,-99.171531,7
64,19.412877,-99.166986,10
65,19.436142,-99.139906,8
66,19.411402,-99.178666,2
67,19.411797,-99.17588,3
68,19.411556,-99.17406,2
69,19.410733,-99.168111,8
70,19.411272,-99.169718,8
71,19.411423,-99.171351,5
72,19.409893,-99.179544,7
73,19.410245,-99.175612,9
74,19.410343,-99.172831,9
75,19.408722,-99.17669,9
76,19.409439,-99.170462,3
77,19.406765,-99.178321,8
78,19.407503,-99.177382,9
79,19.407534,-99.174427,6
80,19.407307,-99.172118,2
81,19.408006,-99.168475,2
82,19.433115,-99.143686,10
83,19.406296,-99.172117,7
84,19.40702,-99.169587,3
85,19.43425,-99.162508,1
86,19.432378,-99.159077,2
87,19.43182,-99.13974,2
88,19.433815,-99.135303,2
89,19.434946,-99.133989,1
90,19.431698,-99.132446,8
91,19.4374,-99.137571,4
92,19.436531,-99.131497,8
93,19.436741,-99.134811,2
