id,latitude,longitude,demand
1,19.433296,-99.168051,3
2,19.431386,-99.171695,4
3,19.431655,-99.158668,12
4,19.442689,-99.152465,11
5,19.443467,-99.152491,3
6,19.442707,-99.152956,4
7,19.442772,-99.153289,6
8,19.441062,-99.153164,8
9,19.401986,-99.156366,8
10,19.401807,-99.15909,3
11,19.4015,-99.156406,4
12,19.418858,-99.176776,3
13,19.426611,-99.14447,8
14,19.42018,-99.174393,6
15,19.43836,-99.152226,5
16,19.432313,-99.161597,7
17,19.430992,-99.163593,5
18,19.433321,-99.154752,9
19,19.428009,-99.169918,3
20,19.425468,-99.175166,3
21,19.430922,-99.166959,3
22,19.42972,-99.169363,4
23,19.428309,-99.171713,6
24,19.41479,-99.18508,5
25,19.4128,-99.1828,5
26,19.41249,-99.18875,4
27,19.41123,-99.18551,4
28,19.41171,-99.19014,4
29,19.41004,-99.18798,5
30,19.409569,-99.183833,5
31,19.4079,-99.18795,6
32,19.42592,-99.190755,6
